protein,type,meas,coef,wald,fdr
TTC37,-2.0,6.0,-1.22183052182,0.0709668731955,0.13252258869284717
ALG12,-2.0,17.0,-0.804924996929,0.0710015676476,0.1325301282125915
MLLT1,2.0,5.0,1.38733239271,0.0710889787109,0.13263601854426596
PPIG,2.0,9.0,1.06019850502,0.071205301788,0.13273847332027988
GALK2,-2.0,6.0,-1.29979811451,0.0711893973944,0.13273847332027988
ME3,2.0,17.0,0.769154708313,0.0720268806988,0.13412602042566771
WDR45,2.0,6.0,1.2623827323,0.0720051797826,0.13412602042566771
ATP6V0A2,2.0,7.0,1.19376507741,0.0720427063216,0.13412602042566771
EHBP1,2.0,6.0,1.25712750583,0.0721987380108,0.13430083666977477
CDK18,2.0,15.0,0.846675356555,0.072179808757,0.13430083666977477
GLYR1,2.0,5.0,1.41024371766,0.0724689270705,0.13474545020459269
EHHADH,2.0,47.0,0.522928764841,0.0726295029421,0.13498595925129292
HOOK2,2.0,23.0,0.65179583799,0.0727366913917,0.13512708074184401
HSD17B12,2.0,5.0,1.41184369813,0.0730293555533,0.13561250174258135
ACAT2,-2.0,8.0,-1.10689226632,0.0733520521782,0.13613011650613913
SMARCD2,2.0,17.0,0.758863621887,0.0733710782927,0.13613011650613913
APOA1,2.0,6.0,1.27887024845,0.0735174318085,0.13634313929987232
DKC1,2.0,12.0,0.911370203518,0.0735995914714,0.13643697852953279
SMARCC2,2.0,6.0,1.26717919422,0.0736971304605,0.13653588767106214
LRWD1,2.0,12.0,0.900024966777,0.0737161142318,0.13653588767106214
PPP6R2,-2.0,18.0,-0.772723202735,0.0738491537811,0.13672372239640687
ANXA1,2.0,7.0,1.16754126681,0.0740142330858,0.136970689053862
HSPB6,2.0,18.0,0.747403498016,0.0741239759369,0.13711508257393315
DYNLT1,-2.0,8.0,-1.08636894404,0.0746174619903,0.13796889999326784
CORO7,2.0,6.0,1.27738603252,0.075009859304,0.13863515253143238
COPS6,2.0,13.0,0.871797019929,0.0751008791758,0.13874406011845075
TRIP10,2.0,7.0,1.17291491762,0.0751739629869,0.13881975309378891
COMT,2.0,9.0,1.05351418925,0.0752819683048,0.13890053306939257
SLC7A5,-2.0,7.0,-1.15174415259,0.0752679938426,0.13890053306939257
IFT80,2.0,22.0,0.686399951232,0.0753571240169,0.13892623367227044
USP22,-2.0,5.0,-1.36329693157,0.0753601707059,0.13892623367227044
SPG7,2.0,5.0,1.39160054889,0.0754718244946,0.13901350544960656
VWA1,2.0,8.0,1.07743869844,0.0754491304275,0.13901350544960656
MSH3,-2.0,6.0,-1.25350974831,0.0755172887289,0.13903800646300427
TMEM63A,2.0,19.0,0.735129043521,0.0755849853513,0.13910340215988157
ATP5F1,2.0,5.0,1.3965307007,0.0756574983245,0.13917760223685205
SCLY,2.0,8.0,1.10212657561,0.0763591907205,0.14040866928310392
IFT52,2.0,6.0,1.20794638427,0.0766315816397,0.14084962900870138
EIF2S2,2.0,17.0,0.74923364071,0.0767652770953,0.14103539859022354
TRMT61A,2.0,6.0,1.26838455207,0.0769092188575,0.1412398271541388
SEPT7,2.0,7.0,1.16338174762,0.0772509463833,0.14180715125910429
MIA3,2.0,22.0,0.678469867631,0.0773203081786,0.14187423270632601
CCDC58,2.0,10.0,0.961690038761,0.0774448403923,0.14204244591261103
CDK11B,2.0,8.0,1.08907456587,0.0774976447655,0.14207901540345894
ARHGEF10,-2.0,24.0,-0.657377344217,0.0776645683957,0.14229868576576779
F13A1,2.0,21.0,0.702519285079,0.0777162149186,0.14229868576576779
TAB1,2.0,5.0,1.36603882652,0.0776929420386,0.14229868576576779
DOHH,-2.0,9.0,-1.03071021855,0.0781506343636,0.14303352766889529
PREPL,2.0,9.0,1.02451136661,0.0785075721509,0.14356524298160236
NRD1,2.0,12.0,0.909198991111,0.0784973567305,0.14356524298160236
CELSR2,2.0,8.0,1.08647375169,0.0787038405934,0.14386329931722552
FN3KRP,2.0,15.0,0.79998791211,0.0787824852426,0.14394618922388702
SNRPA1,2.0,19.0,0.721366382995,0.0789204386902,0.14413732845693292
GGCT,2.0,5.0,1.36572042548,0.0789848589187,0.14419406465604531
FUS,2.0,5.0,1.33594628923,0.0790952851608,0.1443347056775687
LBH,2.0,6.0,1.24205028973,0.0791290553092,0.14433540341846179
SLC25A12,2.0,11.0,0.941024586237,0.0792372596756,0.14447181508962675
PROSC,-2.0,5.0,-1.36808384599,0.0794171998285,0.14473885112075591
APOE,2.0,6.0,1.24299215236,0.0795787523396,0.14497216450230949
TANC1,2.0,12.0,0.867207270056,0.0797503355611,0.14522354702211673
C4BPA,2.0,15.0,-0.804718516741,0.0798750914077,0.14538948217074263
PLEKHA1,2.0,6.0,1.23092564022,0.0801079860358,0.14569071250853369
CALM2,2.0,9.0,1.01297273783,0.0800964821708,0.14569071250853369
CDKN2C,2.0,11.0,0.928535542932,0.0802158974259,0.14582562008914321
IFT140,2.0,5.0,1.35025882529,0.0805820714118,0.14642971614678557
RTF1,-2.0,7.0,-1.13111239743,0.0806953648918,0.14657397580984532
SSFA2,2.0,9.0,1.02176645811,0.0810409774413,0.14713991830268622
COX4I1,-2.0,8.0,-1.07444443667,0.0813206976958,0.14758580022624718
RBBP4,2.0,14.0,0.820787032584,0.0813808596808,0.14763300730182732
HELZ2,2.0,20.0,0.700452281248,0.0814886360047,0.14776651570822152
CACTIN,-2.0,5.0,-1.33575782844,0.0820066507595,0.14864350156524436
RALGAPA1,2.0,5.0,1.33211757009,0.0821013752592,0.14875282700978842
SCAMP1,-2.0,8.0,-1.07918831681,0.0822176706102,0.14890112695757168
IDUA,2.0,14.0,0.82699478037,0.0825441387371,0.14942977879413633
CKMT1A,-2.0,6.0,-1.23508639495,0.0825987279244,0.14946601122529085
RHOF,2.0,5.0,1.31669194731,0.0827039138887,0.14954363375457019
ME1,2.0,6.0,1.23989171021,0.0827108092314,0.14954363375457019
HNRNPC,2.0,10.0,0.940619108744,0.0827753679721,0.14959779086254738
MAP2K6,2.0,17.0,0.753096116413,0.0831005214296,0.15005996413545317
PHB,2.0,14.0,0.841585632246,0.0830940708911,0.15005996413545317
HMG20A,2.0,7.0,1.13936624642,0.0831920996517,0.1501626082648595
TMEM55B,2.0,8.0,1.06321842019,0.0833174205312,0.15027961535000306
SH3D19,2.0,5.0,1.33604112765,0.083326448761,0.15027961535000306
POLR3E,2.0,5.0,1.32249017661,0.0834899230484,0.15044891093708401
CLTB,2.0,5.0,1.34052698851,0.0834843682627,0.15044891093708401
UTP20,2.0,6.0,1.23993104986,0.0837147857307,0.15079125779750283
WDR26,2.0,20.0,0.680451216469,0.0839513588852,0.15115440419029261
LAMC2,2.0,24.0,0.613041066412,0.0841902529807,0.15139536756883068
IKBIP,2.0,5.0,-1.34525980197,0.0841616867886,0.15139536756883068
PAX8,2.0,7.0,1.08976261897,0.0841779193456,0.15139536756883068
SPCS2,2.0,21.0,0.683398213073,0.0842495113374,0.15143893451630155
CDH2,2.0,10.0,0.940205698676,0.0846209853841,0.15204344131989905
RIF1,2.0,5.0,1.34936187647,0.0846603888032,0.1520510431226442
USP34,2.0,9.0,1.00080412117,0.0847057768647,0.15206938263544167
DIMT1,-2.0,6.0,-1.23470446009,0.0847413189008,0.15207003802746499
CEP250,2.0,10.0,0.956925581198,0.0848697633446,0.15223733897865604
CCDC94,-2.0,5.0,-1.33747321719,0.0849959773896,0.15240050197234442
UFSP2,-2.0,7.0,-1.1088296421,0.0855116082917,0.15326147705021226
MVD,-2.0,8.0,-1.05874580295,0.085558504422,0.15328197870549484
LTBP1,2.0,5.0,1.30544259789,0.0856422256719,0.15330490334552715
COL4A3BP,-2.0,9.0,-1.00497876205,0.0856315687574,0.15330490334552715
NCF2,2.0,22.0,-0.649441725827,0.0857496766168,0.15343371358204261
EED,2.0,17.0,0.726019400973,0.0858556367512,0.15355975079656126
TRIAP1,2.0,5.0,1.33128605596,0.0863093446519,0.15430740154268122
LNPEP,-2.0,6.0,-1.21477079535,0.0864849094922,0.15455736409045323
FOCAD,2.0,5.0,1.32714496742,0.0869242568517,0.15525879712048374
GADD45GIP1,2.0,25.0,0.636226402338,0.086949236139,0.15525879712048374
USP28,2.0,6.0,1.20337060962,0.0872462625901,0.15572485267420161
HIBCH,2.0,13.0,0.819751845005,0.0873786308954,0.15589674839491782
CTIF,2.0,5.0,1.32437537437,0.087539238686,0.15611886503286068
MUC16,2.0,10.0,0.942772712063,0.0878016952135,0.15652236223002816
FAM105A,2.0,16.0,0.762510761597,0.0881666868727,0.15710823880904826
MYO6,2.0,6.0,1.22570189948,0.088326175004,0.15732758736806793
UBE2S,2.0,5.0,1.32575582285,0.0884846370001,0.1575449282337168
BASP1,2.0,25.0,0.614470778217,0.0886634895763,0.15779838017221962
CIRBP,-2.0,12.0,-0.86916303844,0.0889557558341,0.15825338784801632
IBA57,2.0,22.0,0.654308226113,0.0891119505696,0.15846604784548304
WASL,2.0,16.0,0.769080608581,0.0892185535233,0.15859038111889245
GOLGB1,2.0,9.0,0.987019091003,0.0893561842678,0.15876974294684143
ARHGEF40,2.0,9.0,0.967931495429,0.0894602687735,0.1588893762973009
FNDC3A,-2.0,8.0,-1.05610697891,0.0895058874436,0.15890511351901287
ADAP1,2.0,6.0,1.17715115469,0.0897453063424,0.1592647616249411
MDN1,2.0,8.0,1.03772569482,0.0897844285764,0.15926880785220357
MEF2D,2.0,19.0,0.697136094523,0.0899554382581,0.15950671025011207
CPQ,2.0,47.0,0.476802937476,0.0900949470185,0.15968858382980852
SGTA,-2.0,10.0,-0.931548097069,0.0902032658251,0.15981504842708938
MISP,-2.0,8.0,-1.04105224776,0.0907926653654,0.16079340121862926
SUCLG2,2.0,9.0,0.996679788659,0.0909039550925,0.16092456915019096
VPS45,2.0,33.0,0.537837573571,0.0917334935992,0.16232660369595953
BAZ1B,2.0,5.0,1.28401727956,0.092228927344,0.16313651919314751
HK1,2.0,5.0,1.28714118445,0.0923207044831,0.16323206768122883
SMG5,2.0,21.0,0.659021081016,0.0925150375765,0.16344197280059949
SMAD2,-2.0,7.0,-1.11543662067,0.0924992582635,0.16344197280059949
EPCAM,2.0,9.0,0.986557050862,0.0926292803932,0.16355687029671534
PSMD8,2.0,22.0,0.634472562877,0.0926557426224,0.16355687029671534
KDSR,-2.0,8.0,-1.02743182402,0.0927844481332,0.16371721195086111
KIAA1217,2.0,8.0,1.04614322,0.0929926744341,0.16401767914260487
SLC44A4,2.0,9.0,0.996036341055,0.0932177944802,0.16434768578221046
GNA11,-2.0,10.0,-0.936283631525,0.0933981220771,0.16459848419858789
MSRB2,2.0,5.0,1.27424047157,0.0936193090016,0.16492105656635395
RMDN3,-2.0,8.0,-1.03520569439,0.0937966635984,0.16503856584684889
BRE,2.0,10.0,0.940293716521,0.0938657461274,0.16503856584684889
SAMM50,-2.0,10.0,-0.94368007078,0.0939532524981,0.16503856584684889
AIF1,2.0,13.0,0.807639504543,0.0939206606211,0.16503856584684889
AKR1C3,2.0,22.0,0.63964101588,0.0939010195459,0.16503856584684889
PPP1R21,2.0,10.0,0.922650817433,0.0938611238841,0.16503856584684889
WFS1,2.0,11.0,0.898269990655,0.0937367000139,0.16503856584684889
TEAD3,2.0,8.0,1.01596484923,0.0941682871819,0.16534910864636068
GPKOW,2.0,9.0,0.967600736365,0.0942713932015,0.1654608717162305
MED20,2.0,16.0,0.741607522463,0.094308486678,0.1654608717162305
WDR91,2.0,23.0,0.633174919642,0.0944132365609,0.16557745300306476
RPF1,2.0,7.0,1.09686753745,0.0947618255512,0.16608157353585859
SEC22B,2.0,31.0,0.548174817829,0.0947775253095,0.16608157353585859
PSMA5,2.0,6.0,1.18516360767,0.0949075173475,0.16619465737352299
CHTOP,2.0,30.0,0.558283478842,0.0949189472716,0.16619465737352299
GALNT3,2.0,10.0,0.917307997383,0.0953237423248,0.16683584537255622
SNX21,2.0,12.0,0.847484825539,0.0954195038227,0.16693586200944147
RREB1,2.0,20.0,0.666144596517,0.0954846142337,0.16698219552269578
CRIPT,2.0,7.0,1.0954185789,0.0959857581168,0.16779071263202502
TBC1D4,2.0,6.0,1.18946233152,0.0960522893421,0.16783914584724893
RPN1,2.0,14.0,0.803342258404,0.0961477428167,0.16793805745323132
ACAD10,2.0,8.0,0.991639967854,0.0961951808851,0.16795305612532249
CFHR2,2.0,15.0,-0.76571016202,0.0963514898431,0.16815805029940611
MRPL45,2.0,5.0,1.31448739172,0.0966980938892,0.16869485870990411
PRPS2,-2.0,5.0,-1.27109494219,0.0970497097992,0.16923997396604157
SNCG,-2.0,6.0,-1.16685678796,0.0971136373583,0.169283167056439
HAX1,2.0,26.0,0.581750915797,0.0974976073518,0.16988398088755974
CYB5R1,2.0,22.0,0.624004650332,0.0981117735558,0.17088525265170418
NF1,-2.0,7.0,-1.09525218138,0.0983462104096,0.17115566328536858
ME2,-2.0,9.0,-0.977111318781,0.0983305367566,0.17115566328536858
BLVRB,2.0,11.0,0.885381892413,0.0986409699697,0.17159956264757004
BMP2K,-2.0,5.0,-1.28146497282,0.0998336525686,0.17353473263128538
AP1M1,2.0,20.0,0.675098946305,0.0997961683705,0.17353473263128538
ACE,2.0,16.0,0.73813554863,0.100142601946,0.17400179590470818
LIN9,2.0,17.0,0.720691187223,0.10043771723,0.17444445624121549
ZNF326,2.0,8.0,1.00853599282,0.100674384714,0.17471512048047058
UNC119B,2.0,6.0,1.16433600196,0.100664444235,0.17471512048047058
USP11,2.0,10.0,0.914150194628,0.100778597522,0.17482579337460297
OARD1,2.0,12.0,0.825240566695,0.100908097738,0.1749583462529388
CNDP2,-2.0,9.0,-0.964843327631,0.100935950857,0.1749583462529388
CEPT1,2.0,5.0,1.28039320944,0.101500456689,0.1758663223513949
ATP1B3,2.0,19.0,0.681761363951,0.101634654264,0.17595779350590265
CYP1B1,2.0,6.0,1.15756146165,0.101603267659,0.17595779350590265
DNAJC17,-2.0,6.0,-1.16342457103,0.101798491901,0.1761708889056047
ARF4,2.0,5.0,1.279712613,0.101876296257,0.17623498548229272
DOK2,-2.0,12.0,0.840274144688,0.101917840889,0.17623633046605489
NAA50,2.0,11.0,0.871202420468,0.102125635636,0.17652503912687326
MYEF2,-2.0,6.0,-1.14198935757,0.102321459727,0.17679283389341868
OSBPL9,2.0,12.0,0.837280882177,0.102589624099,0.17718535556604276
RBBP5,2.0,16.0,0.710742998864,0.102895656941,0.17764294127701957
RASAL2,2.0,15.0,0.762307029044,0.102947005925,0.17766064136316967
CTHRC1,2.0,57.0,0.417466372555,0.103058835198,0.17771174493812666
PKN2,2.0,9.0,0.961407161634,0.103051857605,0.17771174493812666
CWC27,-2.0,7.0,-1.06563131347,0.103909959603,0.17910795668332538
COG2,2.0,26.0,0.564885533689,0.103965230327,0.17913180179567431
MBOAT1,2.0,21.0,0.6342516636,0.104072729152,0.17924558092589282
RAB35,2.0,5.0,1.26304029796,0.104271527741,0.17951645337525968
NDUFV1,2.0,17.0,0.710354662209,0.104423659156,0.17970679877803919
RAD9A,2.0,9.0,0.969765352937,0.104821347782,0.1802476875344125
DEF6,2.0,9.0,0.938422035179,0.104807961685,0.1802476875344125
CTDP1,-2.0,6.0,-1.15353334853,0.104942439588,0.18038416156637119
SCRN3,2.0,10.0,0.888190898761,0.105104120397,0.1805902672793965
RHOT1,2.0,5.0,1.27142271875,0.105157662037,0.18061047794423266
CBR4,-2.0,5.0,-1.24873076962,0.105736541155,0.18153259230107566
TBP,-2.0,7.0,-1.06452786125,0.10605170652,0.18200140027253775
CD151,-2.0,5.0,-1.25384100391,0.106390114687,0.18250970864797073
SNX4,2.0,13.0,0.800412517145,0.106522554521,0.18266442014859408
CERS6,2.0,7.0,1.07169840331,0.106591643307,0.18271041792937878
TLDC1,-2.0,6.0,-1.14180227886,0.106927263052,0.18321306308940266
LOXL1,2.0,6.0,-1.14603442168,0.107328399238,0.18382752373503869
EIF4H,2.0,5.0,1.24566784545,0.1074655109,0.18398946678037073
RPS19,2.0,5.0,1.24640323308,0.107864054028,0.18459869578890833
RBBP7,2.0,7.0,1.0660752087,0.108153500148,0.18497880500527145
CRELD2,-2.0,26.0,-0.570285056628,0.108171737001,0.18497880500527145
FAM115A,2.0,23.0,0.614078089123,0.108239312755,0.18502117399825313
HDAC7,2.0,5.0,1.24796794339,0.108898286547,0.18607402875132026
ABRACL,-2.0,5.0,-1.26302273894,0.108980425871,0.18614080641699543
HSPA5,2.0,5.0,1.240199674,0.109068395347,0.1862174854198726
TP53RK,2.0,18.0,0.673912375524,0.109555013259,0.18697446597607911
PCNT,2.0,8.0,0.972463722218,0.109993075867,0.18764801380168736
LAP3,2.0,8.0,0.99125805701,0.110046019677,0.18766427734304392
TCIRG1,2.0,15.0,0.727423595375,0.110105947865,0.18769243399878885
EMC2,2.0,65.0,0.383882799965,0.110420130729,0.18815381361496575
ZNF512,2.0,6.0,1.13240168953,0.111224658841,0.18945003946714173
NUP205,2.0,23.0,0.598943795228,0.111624397262,0.19005603362032603
ATG2A,2.0,6.0,1.1276261604,0.112082051936,0.19076012225207173
USP10,-2.0,6.0,-1.1193858963,0.112143348925,0.1907893338849849
EHF,2.0,9.0,0.927729293154,0.112248799045,0.19089361065002308
LONP1,-2.0,6.0,-1.12354311,0.11236716015,0.19101975357018136
PARD3B,2.0,6.0,1.12619679372,0.112447299465,0.19108084732186123
MCCC2,-2.0,10.0,-0.879099868342,0.112558509808,0.19119467108126911
RAPH1,2.0,5.0,1.20692588526,0.112782115951,0.19149924872607874
NUP85,2.0,17.0,0.681057964983,0.113017201997,0.19182307194044845
WDR11,2.0,5.0,1.20540797301,0.113138717889,0.19195395503773302
DYNC1H1,2.0,5.0,1.2318340504,0.113453070212,0.19241177815892974
GBP5,2.0,9.0,0.916598635855,0.11360154838,0.19258803672412869
GPD2,2.0,6.0,1.09908904984,0.113884026519,0.19299123741383717
TUBB,2.0,17.0,0.692031976205,0.114018465742,0.19314334929564211
PDE4D,-2.0,9.0,-0.920694961525,0.114408072616,0.19372741790876072
CLPP,-2.0,5.0,-1.21829679267,0.11453437949,0.19386535729708293
BPGM,2.0,22.0,0.59897922388,0.114645144533,0.19392787892975169
ATP13A3,2.0,32.0,0.54952681219,0.114698685217,0.19392787892975169
ATP6V1B2,-2.0,25.0,-0.573271961526,0.114705895541,0.19392787892975169
INTS6,-2.0,6.0,-1.10966419592,0.114920333233,0.19421446464600459
NCKAP1,2.0,12.0,0.814061007693,0.11503565213,0.19433338185087112
RPS21,2.0,29.0,-0.524099423861,0.115193860904,0.19452463308112397
PSMD4,2.0,35.0,0.491290189439,0.115406002952,0.19480677499450172
TMEM120A,2.0,11.0,0.828723375905,0.115587260058,0.19503658283829456
RPL24,2.0,6.0,1.11777824271,0.115844251063,0.19527145029439194
ABCC3,2.0,13.0,-0.818773857457,0.115786244173,0.19527145029439194
SNRPD1,2.0,5.0,1.20108134824,0.115861963915,0.19527145029439194
KMT2C,2.0,21.0,0.632299146043,0.115940491186,0.19532764746540829
RSU1,-2.0,6.0,-1.10372013555,0.116065221812,0.19546161039827906
MFGE8,2.0,11.0,0.816915061395,0.116337014761,0.19584303536276867
CGN,2.0,37.0,0.475775532306,0.116711624694,0.19639717927251552
IFT74,2.0,6.0,1.084333295,0.116986197058,0.19678261863088098
EEFSEC,2.0,13.0,0.778124435683,0.117044928082,0.19680483239860971
FLYWCH2,2.0,5.0,1.22115211731,0.117191438631,0.19697456811941436
TCEB2,2.0,6.0,1.12472359599,0.1174242659,0.19721827074693327
LEPRE1,2.0,17.0,0.676799924911,0.117427672658,0.19721827074693327
CPSF3L,2.0,7.0,-1.04034567494,0.117827476495,0.19773609506495116
NSA2,-2.0,8.0,-0.966940016807,0.117802474109,0.19773609506495116
ARPC2,2.0,5.0,1.22073348311,0.118006681018,0.19795998527054767
SPON1,2.0,6.0,1.10284805385,0.118151860712,0.19812664618255943
CTSC,2.0,15.0,0.717320879488,0.118277648145,0.19826067193840574
SAFB,-2.0,5.0,-1.21021824725,0.119356986151,0.1999923453990835
THADA,2.0,15.0,0.714571833848,0.119920367554,0.20085848467130044
MRPS22,2.0,22.0,0.604454391562,0.120754598864,0.20217743256705814
CALD1,2.0,23.0,0.577538471271,0.121005537518,0.20250637002442232
NT5C,2.0,16.0,0.681705111509,0.121044751363,0.20250637002442232
KAT5,2.0,5.0,-1.14050356369,0.121092053028,0.20250713548961288
ASAH1,-2.0,26.0,-0.550669950419,0.121183155974,0.20258112268973497
MRPL9,2.0,33.0,0.497351623342,0.121506019693,0.20304233596089447
DPF2,2.0,7.0,-0.998907376813,0.121631164625,0.20309444753723935
TAP1,2.0,13.0,0.751874255566,0.121616254581,0.20309444753723935
C1orf27,2.0,20.0,0.630190473258,0.121694782382,0.20312221785164619
PLXNA1,2.0,13.0,0.758489356426,0.121904682992,0.20339403495649591
TSPAN9,2.0,19.0,0.632855607341,0.122053024959,0.20356297334014867
RBM26,2.0,6.0,1.09074649331,0.122231521214,0.20375603439367501
CASP8,2.0,5.0,1.20115049101,0.12226304724,0.20375603439367501
ATP2B4,2.0,21.0,0.603153320317,0.122326940179,0.20378395467961311
WDR12,2.0,5.0,-1.20858216628,0.122554099896,0.20408373414905281
UBE2F,2.0,8.0,0.945880209498,0.122717356029,0.20427690801502235
EHD4,-2.0,9.0,-0.889335183396,0.123312874657,0.20518920598158255
ETFB,2.0,5.0,1.20616073703,0.12392869027,0.20613456253860063
LHPP,2.0,12.0,0.786293233726,0.124011835116,0.20619352431026078
MARC1,2.0,19.0,0.620356795293,0.124640304576,0.20707918396662423
PADI2,2.0,5.0,1.18733640673,0.124600552667,0.20707918396662423
ATRN,2.0,17.0,0.659159278421,0.125000160534,0.20759727006862844
SEC24B,-2.0,5.0,-1.20097250238,0.125255439256,0.20794134558475882
KHDRBS1,2.0,11.0,0.814471629748,0.125563884643,0.20837338706826231
RFX3,-2.0,7.0,-0.99679940335,0.125874070466,0.20864785530034335
PLAUR,2.0,7.0,1.02756098319,0.125863362,0.20864785530034335
RRM2,2.0,8.0,0.943374653136,0.125830055278,0.20864785530034335
CSPG4,2.0,6.0,-1.07502879661,0.126108430509,0.20895620739420129
LMF2,-2.0,27.0,-0.538815067071,0.126816857261,0.21004953024555639
RCC2,2.0,5.0,1.1774494582,0.126953185255,0.21019479887280318
SEPT2,2.0,8.0,0.947063150161,0.127168511651,0.21047070285948727
ABHD11,2.0,6.0,1.07958873099,0.127435348726,0.21083161597471908
TEP1,2.0,11.0,0.808473762809,0.127668275648,0.2111361727716323
LBR,2.0,20.0,0.604590725263,0.127729677668,0.21115693940997676
NT5DC3,2.0,6.0,1.08168285896,0.128232644091,0.21190738547560847
MFAP1,-2.0,5.0,1.14928066526,0.128435732349,0.21216189183953196
EMC4,-2.0,6.0,-1.05519040728,0.128753767752,0.21254646952354569
WWTR1,2.0,27.0,0.54540803213,0.128766875707,0.21254646952354569
ARVCF,2.0,9.0,0.881707337366,0.129523058152,0.21371304595111831
NELFE,2.0,13.0,0.749243022148,0.129894294171,0.21424381293506667
OMA1,2.0,11.0,0.80297160619,0.130015382872,0.21436174681774509
RPE,2.0,5.0,1.1824071063,0.130186044125,0.21456129193704429
CENPB,2.0,13.0,0.729455948899,0.130346867159,0.21474447664993385
PRSS23,2.0,13.0,0.723663275733,0.130506852278,0.2149261418660843
ZC3H18,-2.0,8.0,-0.888740561476,0.131059188205,0.21575356839609111
EXOC3,2.0,31.0,0.477033340276,0.131500490813,0.2162455429812366
MTHFR,2.0,6.0,1.05883699837,0.131539765499,0.2162455429812366
PHC2,2.0,10.0,0.804154926532,0.131449951407,0.2162455429812366
DFNA5,2.0,5.0,1.15664225419,0.131558125848,0.2162455429812366
DNAJC10,2.0,11.0,0.810067857717,0.132046636637,0.21696602439363677
PXN,2.0,5.0,1.15258150727,0.132346106201,0.21724385462202181
PLBD2,2.0,7.0,0.995658203036,0.132366484634,0.21724385462202181
COX6C,2.0,61.0,0.375472182968,0.132327353953,0.21724385462202181
DARS2,2.0,21.0,0.584285481317,0.132441967853,0.21728524744921998
RNASET2,-2.0,8.0,-0.929972165826,0.132681132081,0.21759504324265941
RIT1,2.0,26.0,0.526854535198,0.132784079777,0.21759877819405596
MTX3,-2.0,7.0,-0.982765990145,0.132742379365,0.21759877819405596
STT3A,2.0,8.0,0.939126245328,0.133081870069,0.21800413956439874
HDAC6,2.0,10.0,0.825436775104,0.133356042731,0.21837051997127011
C1R,2.0,23.0,0.561265706803,0.133921433702,0.21921331234221236
NASP,2.0,15.0,0.687138223109,0.134093911305,0.21932954164621474
POLA2,2.0,6.0,1.06745807405,0.134093712059,0.21932954164621474
FOXRED1,2.0,7.0,0.993409519711,0.134174720499,0.21937871282821336
ZNF346,2.0,5.0,1.16252057303,0.135254896819,0.22106121699451076
MRPL20,2.0,5.0,1.15476358254,0.135376198477,0.22109229543489806
CASP1,-2.0,5.0,-1.13681300078,0.135338509463,0.22109229543489806
PARP14,2.0,12.0,0.764967516606,0.135767635721,0.22164784336107127
LASP1,2.0,9.0,0.874758814012,0.136448566952,0.22261374920379509
LRRC15,2.0,33.0,0.504033062933,0.136462279757,0.22261374920379509
ATP2C1,2.0,17.0,0.657104650036,0.136533996871,0.22262431096213744
GIT2,2.0,7.0,0.975711274332,0.136571749404,0.22262431096213744
COPG1,2.0,14.0,0.704607346241,0.136721519876,0.22278444418469451
MYL9,2.0,18.0,-0.618471282286,0.136927501089,0.2230360162804661
YLPM1,2.0,5.0,1.13554580981,0.137674585971,0.22416845015174572
HSPB11,2.0,14.0,0.698898018024,0.137907864218,0.22437926120167734
PYCR2,2.0,20.0,0.596121294802,0.137900667282,0.22437926120167734
S100P,2.0,13.0,0.734998944137,0.138229945199,0.22481868062265983
PRPF6,2.0,24.0,0.547785610602,0.138377549435,0.22497410538006726
LIPA,-2.0,5.0,-1.16023083127,0.139222100146,0.22626208230449571
QDPR,2.0,8.0,0.914110280996,0.13954686353,0.2267046565358391
HMGA1,2.0,11.0,0.778956971837,0.139710759403,0.22680045546297853
DDR1,2.0,15.0,0.673284010613,0.13966297801,0.22680045546297853
CFH,2.0,18.0,-0.623183342435,0.1397788244,0.22682577247840463
RPS16,2.0,21.0,0.585815541497,0.140103705814,0.22718241569156242
AGPAT1,2.0,13.0,0.725787502734,0.140055445735,0.22718241569156242
EEF2,-2.0,9.0,-0.864805475616,0.140386372362,0.22746808683623976
FAIM,2.0,19.0,0.616552611613,0.140397828707,0.22746808683623976
BRAT1,2.0,6.0,1.04949205557,0.140437733927,0.22746808683623976
PTPRF,2.0,17.0,0.643201544273,0.140947061215,0.2282075451814819
KRT10,2.0,5.0,1.17820946565,0.141126598449,0.2284126862960284
KDM5A,2.0,23.0,0.526182078428,0.141241523382,0.22851313831673298
SYNM,2.0,17.0,0.629171049795,0.14169084893,0.22906863871577526
GCN1L1,2.0,5.0,1.16623181729,0.141684547929,0.22906863871577526
HSPA1L,2.0,6.0,-1.0327037387,0.142080203466,0.22961223162068639
CAMK1D,2.0,15.0,0.665188455229,0.14224250007,0.22978861278069709
PLIN4,-2.0,6.0,1.0227890721,0.142324677917,0.22983548099878873
TRAPPC11,-2.0,7.0,-0.952110851382,0.142491136504,0.2300012777993545
HEATR2,2.0,5.0,1.14770254075,0.142533755083,0.2300012777993545
PSMC4,2.0,17.0,0.637261235249,0.14267378148,0.23014132736438336
ECD,2.0,6.0,1.05237389511,0.142903365667,0.23042568063298433
LMOD1,2.0,20.0,-0.585260365048,0.14310307836,0.23066167328565654
PIR,2.0,5.0,1.1528106673,0.143239332299,0.23079524171742258
UBR3,2.0,8.0,0.905217512236,0.143527559975,0.23117348799314286
GRAMD4,-2.0,9.0,-0.841748353485,0.143598375584,0.23120140694582056
PPP1R18,2.0,17.0,0.630687325848,0.143869413712,0.231551554533385
