gene,set
CDYL,GATA2
CEBPB,GATA2
CEBPE,GATA2
CFLAR,GATA2
CHD1L,GATA2
CHD3,GATA2
CHD9,GATA2
CHEK2,GATA2
CHIC2,GATA2
CHPT1,GATA2
CHRM2,GATA2
CHRNA9,GATA2
CHST11,GATA2
CIC,GATA2
CIT,GATA2
CLCN3,GATA2
CLCN6,GATA2
CLDN14,GATA2
CLEC16A,GATA2
CLIC4,GATA2
CLN8,GATA2
CLPB,GATA2
CLU,GATA2
CLUL1,GATA2
CMAS,GATA2
CMKLR1,GATA2
CMPK2,GATA2
CNKSR1,GATA2
CNNM2,GATA2
CNOT7,GATA2
COG6,GATA2
COL18A1,GATA2
COL1A2,GATA2
COL23A1,GATA2
COL4A2,GATA2
COL9A3,GATA2
COLEC12,GATA2
COMMD7,GATA2
COPG,GATA2
COPZ1,GATA2
COTL1,GATA2
CPEB4,GATA2
CPNE2,GATA2
CPOX,GATA2
CPSF4L,GATA2
CR1L,GATA2
CRABP2,GATA2
CRB2,GATA2
CREB3L1,GATA2
CREB3L2,GATA2
CREB3L3,GATA2
CREBBP,GATA2
CRIP1,GATA2
CRTAM,GATA2
CRYBA4,GATA2
CSF2RB,GATA2
CSF3,GATA2
CSGALNACT1,GATA2
CSRP1,GATA2
CTAGE1,GATA2
CTDSP1,GATA2
CTNNBL1,GATA2
CTR9,GATA2
CTSH,GATA2
CTTNBP2,GATA2
CXCL2,GATA2
CXXC5,GATA2
CYB561,GATA2
CYLD,GATA2
CYP3A43,GATA2
DAB2IP,GATA2
DAK,GATA2
DAPK1,GATA2
DCHS1,GATA2
DCN,GATA2
DCP1A,GATA2
DCTN1,GATA2
DCTN6,GATA2
DDC,GATA2
DDIT4,GATA2
DDR1,GATA2
DDX41,GATA2
DDX47,GATA2
DEFB132,GATA2
DEFB136,GATA2
DEGS1,GATA2
DENND4A,GATA2
DGKD,GATA2
DHCR24,GATA2
DHH,GATA2
DHRS1,GATA2
DHRS3,GATA2
DHRS7B,GATA2
DIS3L,GATA2
DLC1,GATA2
DLD,GATA2
DLGAP1,GATA2
DLK1,GATA2
DLX5,GATA2
DMD,GATA2
DNAJB2,GATA2
DNAJB8,GATA2
DNAJC16,GATA2
DNMT3A,GATA2
DOCK11,GATA2
DOCK8,GATA2
DOCK9,GATA2
DOK2,GATA2
DPEP1,GATA2
DPF3,GATA2
DPY19L3,GATA2
DPYSL2,GATA2
DTL,GATA2
DUSP10,GATA2
DUSP2,GATA2
DUSP5,GATA2
DUSP6,GATA2
DYDC2,GATA2
DYSF,GATA2
E2F2,GATA2
E2F3,GATA2
ECE1,GATA2
EDARADD,GATA2
EDEM1,GATA2
EDN1,GATA2
EDN3,GATA2
EEF1A1,GATA2
EFCAB2,GATA2
EFHD2,GATA2
EFNA3,GATA2
EFNB1,GATA2
EGFL7,GATA2
EGLN3,GATA2
EGR1,GATA2
EHD1,GATA2
EIF2C2,GATA2
ELL2,GATA2
ELMO1,GATA2
ELMOD2,GATA2
ELOVL5,GATA2
ELOVL6,GATA2
EMR1,GATA2
ENC1,GATA2
ENG,GATA2
EPB41,GATA2
EPB42,GATA2
EPHA2,GATA2
EPHB4,GATA2
EPHX2,GATA2
EPM2AIP1,GATA2
EPO,GATA2
ERBB3,GATA2
ERG,GATA2
ERMAP,GATA2
ERMN,GATA2
ERRFI1,GATA2
ESM1,GATA2
ESYT1,GATA2
ETFB,GATA2
ETV3,GATA2
ETV4,GATA2
EXD3,GATA2
EXOSC7,GATA2
EYA2,GATA2
EZH1,GATA2
F11R,GATA2
F2RL3,GATA2
F3,GATA2
FABP3,GATA2
FADS2,GATA2
FAM100B,GATA2
FAM102B,GATA2
FAM110A,GATA2
FAM117A,GATA2
FAM124B,GATA2
FAM181B,GATA2
FAM192A,GATA2
FAM20B,GATA2
FAM32A,GATA2
FAM46C,GATA2
FAM65C,GATA2
FAM83A,GATA2
FBL,GATA2
FBLIM1,GATA2
FBLN2,GATA2
FBXO17,GATA2
FDPS,GATA2
FGFR3,GATA2
FGL1,GATA2
FHL2,GATA2
FHL3,GATA2
FIS1,GATA2
FKBP1A,GATA2
FKBP5,GATA2
FKBPL,GATA2
FLI1,GATA2
FLJ35776,GATA2
FLOT1,GATA2
FN1,GATA2
FNBP1L,GATA2
FOS,GATA2
FOXA1,GATA2
FOXK2,GATA2
FOXO3,GATA2
FREM1,GATA2
FRMD4A,GATA2
FTSJD2,GATA2
FURIN,GATA2
FUT5,GATA2
FUT6,GATA2
FUT8,GATA2
FZR1,GATA2
G6PC,GATA2
GADD45A,GATA2
GADD45G,GATA2
GALNT10,GATA2
GALNT2,GATA2
GAPDH,GATA2
GATA1,GATA2
GATA2,GATA2
GATA5,GATA2
GATA6,GATA2
GCNT2,GATA2
GFI1B,GATA2
GFOD1,GATA2
GLP1R,GATA2
GMPR,GATA2
GNA12,GATA2
GNAQ,GATA2
GNG12,GATA2
GNS,GATA2
GOLGA4,GATA2
GP9,GATA2
GPR110,GATA2
GPR123,GATA2
GPR124,GATA2
GPR137,GATA2
GPR137B,GATA2
GPR146,GATA2
GPR39,GATA2
GPRC5A,GATA2
GPRIN1,GATA2
GPX1,GATA2
GRAMD4,GATA2
GRAP2,GATA2
GRB2,GATA2
GRK6,GATA2
GSDMB,GATA2
GSR,GATA2
GTPBP2,GATA2
GUCA1A,GATA2
GUCA1B,GATA2
GYPB,GATA2
GYPE,GATA2
HDAC11,GATA2
HDAC7,GATA2
HDC,GATA2
HDGF,GATA2
HEBP2,GATA2
HEMGN,GATA2
HERC1,GATA2
HES1,GATA2
HEXIM1,GATA2
HHEX,GATA2
HINT1,GATA2
HIST1H2AG,GATA2
HIST1H2BF,GATA2
HIST1H2BG,GATA2
HIST1H2BJ,GATA2
HIST1H4B,GATA2
HIST1H4D,GATA2
HIST1H4E,GATA2
HIST1H4I,GATA2
HIVEP1,GATA2
HK1,GATA2
HLF,GATA2
HLTF,GATA2
HLX,GATA2
HMBS,GATA2
HMG20B,GATA2
HMGB1,GATA2
HMGB2,GATA2
HMGN2,GATA2
HNF1A,GATA2
HNMT,GATA2
HNRNPF,GATA2
HNRNPL,GATA2
HOXA3,GATA2
HOXC12,GATA2
HPCAL4,GATA2
HPN,GATA2
HPSE2,GATA2
HSPA13,GATA2
HSPG2,GATA2
HTR4,GATA2
HTR5A,GATA2
HTT,GATA2
HVCN1,GATA2
HYDIN,GATA2
ICA1,GATA2
ICAM2,GATA2
ICAM4,GATA2
ICAM5,GATA2
ID1,GATA2
IER2,GATA2
IER3,GATA2
IER5,GATA2
IFFO1,GATA2
IFNAR1,GATA2
IFNGR2,GATA2
IGF1R,GATA2
IGFBP5,GATA2
IGSF1,GATA2
IGSF3,GATA2
IKZF1,GATA2
IL10,GATA2
IL12RB2,GATA2
IL13,GATA2
IL16,GATA2
IL1R1,GATA2
IL1RL1,GATA2
IL1RN,GATA2
IL21R,GATA2
IL28RA,GATA2
IL34,GATA2
IL4,GATA2
IL8,GATA2
IMPA2,GATA2
ING3,GATA2
INO80C,GATA2
INPP5D,GATA2
INSIG1,GATA2
INSIG2,GATA2
INTU,GATA2
INVS,GATA2
IRF2BP2,GATA2
IRF8,GATA2
ITGA2,GATA2
ITGA2B,GATA2
ITGA8,GATA2
ITPR1,GATA2
ITSN1,GATA2
IYD,GATA2
JARID2,GATA2
JMJD1C,GATA2
JUN,GATA2
JUP,GATA2
KCNE1L,GATA2
KCNH2,GATA2
KDM4B,GATA2
KIAA0087,GATA2
KIAA0494,GATA2
KIAA0564,GATA2
KIAA0664,GATA2
KIAA1161,GATA2
KIAA1274,GATA2
KIAA1462,GATA2
KIAA1522,GATA2
KIAA1715,GATA2
KIF14,GATA2
KLC2,GATA2
KLF1,GATA2
KLF2,GATA2
KLF6,GATA2
KLF9,GATA2
KLHDC7A,GATA2
KRT10,GATA2
KRT19,GATA2
KRT80,GATA2
KSR1,GATA2
LAMB1,GATA2
LAPTM5,GATA2
LASP1,GATA2
LAT,GATA2
LBH,GATA2
LCNL1,GATA2
LEPR,GATA2
LGR5,GATA2
LIMS1,GATA2
LIPA,GATA2
LIPC,GATA2
LMNA,GATA2
LMX1B,GATA2
LOC100049716,GATA2
LOC100130691,GATA2
LOC729603,GATA2
LONRF2,GATA2
LOX,GATA2
LPAR5,GATA2
LRFN2,GATA2
LRFN4,GATA2
LRIG2,GATA2
LRRC32,GATA2
LRRC61,GATA2
LRRC8A,GATA2
LSM11,GATA2
LSMD1,GATA2
LTBP2,GATA2
LTV1,GATA2
LYL1,GATA2
LYZL4,GATA2
LZIC,GATA2
MACC1,GATA2
MAD2L1BP,GATA2
MAGI1,GATA2
MAN1C1,GATA2
MAN2A2,GATA2
MAN2B1,GATA2
MAP2K3,GATA2
MAP3K14,GATA2
MAP3K2,GATA2
MAP3K5,GATA2
MAP4,GATA2
MAP4K4,GATA2
MAPK13,GATA2
MAPK14,GATA2
MAPKAPK2,GATA2
MAPKAPK3,GATA2
MAPRE2,GATA2
MARK2,GATA2
MARK4,GATA2
MAT2A,GATA2
MBD5,GATA2
MBNL1,GATA2
MBNL3,GATA2
MBOAT7,GATA2
MCFD2,GATA2
MCM3,GATA2
MCPH1,GATA2
MED13,GATA2
MED13L,GATA2
MEF2C,GATA2
MEF2D,GATA2
MEST,GATA2
MFI2,GATA2
MFSD1,GATA2
MGLL,GATA2
MICAL2,GATA2
MICALL2,GATA2
MIER3,GATA2
MITF,GATA2
MKL1,GATA2
MLEC,GATA2
MLLT1,GATA2
MLLT10,GATA2
MLLT6,GATA2
MLXIPL,GATA2
MMD,GATA2
MMP2,GATA2
MMRN1,GATA2
MNDA,GATA2
MOBKL1A,GATA2
MPHOSPH9,GATA2
MPP5,GATA2
MRPL1,GATA2
MST1,GATA2
MTHFR,GATA2
MTMR2,GATA2
MTMR4,GATA2
MTSS1,GATA2
MTTP,GATA2
MXI1,GATA2
MYC,GATA2
MYH9,GATA2
MYL4,GATA2
MYLPF,GATA2
MYO18A,GATA2
MYO1C,GATA2
NAPSA,GATA2
NARF,GATA2
NAV2,GATA2
NBPF1,GATA2
NCOA4,GATA2
NDST1,GATA2
NDST2,GATA2
NEAT1,GATA2
NEK6,GATA2
NEK8,GATA2
NET1,GATA2
NFATC1,GATA2
NFE2,GATA2
NFIB,GATA2
NFYB,GATA2
NIF3L1,GATA2
NIPSNAP1,GATA2
NMI,GATA2
NMNAT1,GATA2
NNMT,GATA2
NOS3,GATA2
NOXA1,GATA2
NPHP4,GATA2
NPL,GATA2
NR0B2,GATA2
NR2F2,GATA2
NR3C1,GATA2
NR5A1,GATA2
NSMCE2,GATA2
NSUN6,GATA2
NT5DC4,GATA2
NTF3,GATA2
NTSR1,GATA2
OBFC2A,GATA2
OBSCN,GATA2
ODZ4,GATA2
OLFM2,GATA2
OR10V1,GATA2
ORAI3,GATA2
ORMDL3,GATA2
OTUD5,GATA2
OXNAD1,GATA2
OXTR,GATA2
P2RX6,GATA2
P2RY2,GATA2
P4HA2,GATA2
PACSIN2,GATA2
PAFAH2,GATA2
PAK4,GATA2
PAPPA,GATA2
PARVB,GATA2
PAX6,GATA2
PAX7,GATA2
PCDH7,GATA2
PCGF1,GATA2
PCK2,GATA2
PCOLCE,GATA2
PCSK6,GATA2
PDCD1LG2,GATA2
PDCD4,GATA2
PDCL,GATA2
PDCL3,GATA2
PDE2A,GATA2
PDE3B,GATA2
PDE4DIP,GATA2
PDGFB,GATA2
PDXK,GATA2
PDZK1IP1,GATA2
PECAM1,GATA2
PFDN1,GATA2
PGBD2,GATA2
PGC,GATA2
PGF,GATA2
PHF19,GATA2
PI16,GATA2
PICALM,GATA2
PIGZ,GATA2
PIK3AP1,GATA2
PIK3C2A,GATA2
PIK3CA,GATA2
PIK3R1,GATA2
PIM1,GATA2
PIP4K2A,GATA2
PIP5K1B,GATA2
PISD,GATA2
PITPNC1,GATA2
PITX2,GATA2
PKIG,GATA2
PKLR,GATA2
PKM2,GATA2
PKP1,GATA2
PLA2G12B,GATA2
PLCB2,GATA2
PLCB4,GATA2
PLCG2,GATA2
PLEC,GATA2
PLEKHA4,GATA2
PLEKHM3,GATA2
PLSCR2,GATA2
PLXNA1,GATA2
PLXNB3,GATA2
PLXND1,GATA2
PNMT,GATA2
POLD1,GATA2
POLR2G,GATA2
POLR3B,GATA2
POLR3GL,GATA2
PON1,GATA2
POSTN,GATA2
POU5F1,GATA2
PPA1,GATA2
PPARD,GATA2
PPCDC,GATA2
PPFIBP2,GATA2
PPIF,GATA2
PPP1R14D,GATA2
PPP1R15A,GATA2
PPP1R15B,GATA2
PPP1R9B,GATA2
PPP2R3A,GATA2
PPP2R5A,GATA2
PPP2R5D,GATA2
PRKAB1,GATA2
PRKCQ,GATA2
PRKCSH,GATA2
PRMT1,GATA2
PROCR,GATA2
PRODH2,GATA2
PRPSAP1,GATA2
PRR19,GATA2
PRR7,GATA2
PRRX2,GATA2
PSAP,GATA2
PSD4,GATA2
PSMD3,GATA2
PSPH,GATA2
PTAFR,GATA2
PTGR2,GATA2
PTGS1,GATA2
PTH1R,GATA2
PTK2B,GATA2
PTMS,GATA2
PTP4A2,GATA2
PTPN7,GATA2
PTPRB,GATA2
PTPRF,GATA2
PTTG1IP,GATA2
PXN,GATA2
PYCR2,GATA2
QPCT,GATA2
RAB11A,GATA2
RAB11FIP1,GATA2
RAB20,GATA2
RAB33A,GATA2
RAB4A,GATA2
RABEP2,GATA2
RAC2,GATA2
RALB,GATA2
RAMP2,GATA2
RAPGEF2,GATA2
RAPGEF5,GATA2
RASA3,GATA2
RASAL3,GATA2
RASGRP4,GATA2
RAVER1,GATA2
RBBP6,GATA2
RBM15,GATA2
RBM27,GATA2
RCC1,GATA2
RCSD1,GATA2
RELN,GATA2
RFX1,GATA2
RFX2,GATA2
RGS3,GATA2
RHAG,GATA2
RHBG,GATA2
RHCE,GATA2
RHOBTB3,GATA2
RHOG,GATA2
RHOH,GATA2
RNASE1,GATA2
RNASE4,GATA2
RNASET2,GATA2
RNF103,GATA2
RNF121,GATA2
RNF130,GATA2
RNF168,GATA2
RNF170,GATA2
RNF187,GATA2
RNF217,GATA2
RNF220,GATA2
ROCK1P1,GATA2
RPP25,GATA2
RPRD1B,GATA2
RPS6KA1,GATA2
RPS6KA2,GATA2
RPS9,GATA2
RRBP1,GATA2
RREB1,GATA2
RTN2,GATA2
RTP3,GATA2
RUNX1,GATA2
RXRA,GATA2
RYBP,GATA2
S100A11,GATA2
S100Z,GATA2
S1PR1,GATA2
SAMD14,GATA2
SAMSN1,GATA2
SATB1,GATA2
SCFD2,GATA2
SCGB1A1,GATA2
SCMH1,GATA2
SDCBP,GATA2
SEC14L1,GATA2
SEC14L2,GATA2
SEC22B,GATA2
SEPP1,GATA2
SERBP1,GATA2
SERP2,GATA2
SERPINC1,GATA2
SERPIND1,GATA2
SERPINE1,GATA2
SGK1,GATA2
SGMS1,GATA2
SH2B3,GATA2
SH2D3C,GATA2
SH3BGRL3,GATA2
SH3BP5,GATA2
SH3GLB2,GATA2
SH3PXD2A,GATA2
SH3TC2,GATA2
SHANK2,GATA2
SHC1,GATA2
SHE,GATA2
SIN3B,GATA2
SLC11A2,GATA2
SLC12A3,GATA2
SLC1A5,GATA2
SLC20A1,GATA2
SLC22A23,GATA2
SLC25A37,GATA2
SLC26A5,GATA2
SLC26A8,GATA2
SLC2A1,GATA2
SLC2A12,GATA2
SLC30A10,GATA2
SLC32A1,GATA2
SLC35B4,GATA2
SLC35F3,GATA2
SLC36A1,GATA2
SLC37A1,GATA2
SLC39A5,GATA2
SLC40A1,GATA2
SLC45A3,GATA2
SLC4A1,GATA2
SLC6A9,GATA2
SLC7A5,GATA2
SLC7A8,GATA2
SLC9A1,GATA2
SMAD7,GATA2
SMARCA5,GATA2
SMNDC1,GATA2
SMYD3,GATA2
SMYD5,GATA2
SNRNP70,GATA2
SOBP,GATA2
SORBS1,GATA2
SORCS1,GATA2
SOX5,GATA2
SOX7,GATA2
SP5,GATA2
SPACA3,GATA2
SPI1,GATA2
SPINK4,GATA2
SPTAN1,GATA2
SREBF2,GATA2
SRP72,GATA2
SRRM1,GATA2
SRSF6,GATA2
SSBP3,GATA2
SSFA2,GATA2
SSH1,GATA2
ST3GAL1,GATA2
ST3GAL2,GATA2
ST6GAL1,GATA2
ST7,GATA2
ST8SIA6,GATA2
STAB1,GATA2
STARD8,GATA2
STAT5A,GATA2
STC1,GATA2
STEAP2,GATA2
STIM1,GATA2
STK11,GATA2
STK39,GATA2
STK40,GATA2
STX1A,GATA2
SULT1A1,GATA2
SULT2A1,GATA2
SUPT4H1,GATA2
SUSD1,GATA2
SUV420H2,GATA2
SVEP1,GATA2
SYF2,GATA2
SYNC,GATA2
SYNJ2,GATA2
SYNPO,GATA2
SZT2,GATA2
TAL1,GATA2
TANC1,GATA2
TAOK3,GATA2
TBC1D22B,GATA2
TBC1D24,GATA2
TBL1XR1,GATA2
TBL2,GATA2
TBX19,GATA2
TBX4,GATA2
TCF3,GATA2
TEF,GATA2
TES,GATA2
TESC,GATA2
TEX2,GATA2
TFF3,GATA2
TFPI,GATA2
TFR2,GATA2
TGFB2,GATA2
TGM2,GATA2
THBS1,GATA2
TIMELESS,GATA2
TINAGL1,GATA2
TJP2,GATA2
TLE3,GATA2
TLE6,GATA2
TM6SF1,GATA2
TMBIM1,GATA2
TMCC2,GATA2
TMEM106B,GATA2
TMEM107,GATA2
TMEM135,GATA2
TMEM217,GATA2
TMEM26,GATA2
TMEM56,GATA2
TMEM64,GATA2
TMEM9,GATA2
TMEM91,GATA2
TNFAIP8,GATA2
TNFAIP8L1,GATA2
TNFRSF14,GATA2
TNFRSF19,GATA2
TNFRSF1A,GATA2
TNFRSF8,GATA2
TNFSF10,GATA2
TNNI1,GATA2
TNPO1,GATA2
TNPO2,GATA2
TNRC6B,GATA2
TP53BP1,GATA2
TP53I3,GATA2
TPCN1,GATA2
TPM4,GATA2
TRAF3IP2,GATA2
TRAF4,GATA2
TRAM2,GATA2
TRAPPC9,GATA2
TRIB1,GATA2
TRIM55,GATA2
TRIM56,GATA2
TRPC1,GATA2
TRPC3,GATA2
TSPAN32,GATA2
TSPAN5,GATA2
TTC19,GATA2
TUBA1C,GATA2
TXNDC2,GATA2
TXNIP,GATA2
TXNRD1,GATA2
TXNRD2,GATA2
UBAC1,GATA2
UBE2H,GATA2
UBXN10,GATA2
UBXN11,GATA2
UCA1,GATA2
UCP3,GATA2
UMODL1,GATA2
UPB1,GATA2
URM1,GATA2
UROS,GATA2
USF1,GATA2
USP20,GATA2
USP22,GATA2
USP48,GATA2
USP54,GATA2
USP6NL,GATA2
UVRAG,GATA2
VAMP4,GATA2
VAV2,GATA2
VAV3,GATA2
VEGFA,GATA2
VIM,GATA2
VPS37A,GATA2
VPS37B,GATA2
VSX2,GATA2
VWA5A,GATA2
WBP2,GATA2
WBP4,GATA2
WDR1,GATA2
WDR20,GATA2
WDR74,GATA2
WNK4,GATA2
WRAP53,GATA2
WT1,GATA2
YIF1B,GATA2
YWHAE,GATA2
ZBTB16,GATA2
ZBTB38,GATA2
ZBTB40,GATA2
ZDHHC7,GATA2
ZEB1,GATA2
ZFP36L2,GATA2
ZFPM1,GATA2
ZFPM2,GATA2
ZG16B,GATA2
ZHX2,GATA2
ZMAT4,GATA2
ZMIZ1,GATA2
ZMYND8,GATA2
ZNF117,GATA2
ZNF323,GATA2
ZNF354A,GATA2
ZNF485,GATA2
ZNF521,GATA2
ZNF546,GATA2
ZNF595,GATA2
ZNF609,GATA2
ZNF669,GATA2
ZNF670,GATA2
ZNF692,GATA2
ZNF77,GATA2
ZNF792,GATA2
ZNF823,GATA2
ZXDC,GATA2
ABCC2,GATA3
ABCC5,GATA3
ABLIM3,GATA3
ACP6,GATA3
ACSL3,GATA3
ACVR2A,GATA3
ADAR,GATA3
ADM,GATA3
AGR3,GATA3
AHRR,GATA3
AIM1,GATA3
AKAP1,GATA3
AKAP5,GATA3
AKIRIN2,GATA3
ALAD,GATA3
ALDH1A3,GATA3
AMIGO2,GATA3
AMMECR1L,GATA3
ANKRD17,GATA3
ANKRD2,GATA3
ANKRD35,GATA3
ANXA3,GATA3
ARHGEF3,GATA3
ARHGEF37,GATA3
ARID1A,GATA3
ARL4A,GATA3
ARL6IP1,GATA3
ARMCX4,GATA3
ARNT,GATA3
ARRDC4,GATA3
ATOX1,GATA3
ATP1B1,GATA3
ATP2A3,GATA3
ATP6V0A1,GATA3
ATRIP,GATA3
BACE1,GATA3
BCAR3,GATA3
BCL9L,GATA3
BLCAP,GATA3
BLNK,GATA3
BMP4,GATA3
BRI3BP,GATA3
BTG1,GATA3
BTG2,GATA3
C14ORF162,GATA3
C16ORF74,GATA3
C18ORF1,GATA3
C1ORF106,GATA3
C1ORF116,GATA3
C1ORF201,GATA3
C1ORF51,GATA3
C1QTNF6,GATA3
C20ORF94,GATA3
C2ORF29,GATA3
C6ORF211,GATA3
C6ORF72,GATA3
CA12,GATA3
CACNA1B,GATA3
CADM1,GATA3
CALCR,GATA3
CAPN5,GATA3
CCDC6,GATA3
CCDC86,GATA3
CD40LG,GATA3
CD55,GATA3
CD8A,GATA3
CD8B,GATA3
CDC42EP4,GATA3
CDH1,GATA3
CDH13,GATA3
CELSR2,GATA3
CETN3,GATA3
CGGBP1,GATA3
CGN,GATA3
CHD3,GATA3
CISH,GATA3
CITED2,GATA3
CITED4,GATA3
CLDN5,GATA3
CLN8,GATA3
CLU,GATA3
COBL,GATA3
COBLL1,GATA3
COQ5,GATA3
CORO2A,GATA3
CPEB4,GATA3
CRADD,GATA3
CRIM1,GATA3
CRKL,GATA3
CSK,GATA3
CTGF,GATA3
CTSL2,GATA3
CUEDC1,GATA3
CUL4B,GATA3
CYP1A1,GATA3
CYP4F11,GATA3
DAPK1,GATA3
DEGS2,GATA3
DLC1,GATA3
DLL1,GATA3
DNM3,GATA3
DUSP10,GATA3
DUSP2,GATA3
DUSP5,GATA3
E2F8,GATA3
EDN1,GATA3
EDN2,GATA3
EFNA1,GATA3
EFNB2,GATA3
EIF2AK1,GATA3
EIF2AK3,GATA3
EIF2B5,GATA3
EIF4B,GATA3
ELF3,GATA3
ELOVL2,GATA3
ENTPD4,GATA3
EPB41L2,GATA3
EPPK1,GATA3
ERG,GATA3
ESR1,GATA3
EVI2A,GATA3
EYA1,GATA3
FAM169B,GATA3
FAM198B,GATA3
FBXO11,GATA3
FBXW11,GATA3
FGF13,GATA3
FKBP4,GATA3
FOS,GATA3
FOXC1,GATA3
FOXJ3,GATA3
FSCN1,GATA3
FTH1,GATA3
FUT8,GATA3
FZD2,GATA3
GADD45A,GATA3
GALNT10,GATA3
GALNT12,GATA3
GATA3,GATA3
GATA6,GATA3
GEMIN4,GATA3
GLG1,GATA3
GLTP,GATA3
GMEB1,GATA3
GNB1L,GATA3
GOLPH3,GATA3
GPSM2,GATA3
GRB14,GATA3
GREB1,GATA3
GRHL2,GATA3
GRWD1,GATA3
GUCA1A,GATA3
HAT1,GATA3
HBA1,GATA3
HBP1,GATA3
HCN4,GATA3
HDAC11,GATA3
HERPUD2,GATA3
HES1,GATA3
HEY1,GATA3
HIST1H2BG,GATA3
HMCN1,GATA3
HMGCR,GATA3
HOXA10,GATA3
HOXC13,GATA3
HPDL,GATA3
HS3ST3B1,GATA3
ID3,GATA3
IFNG,GATA3
IGFBP3,GATA3
IGFBP4,GATA3
IL10,GATA3
IL13,GATA3
IL1R1,GATA3
IL5,GATA3
IRX5,GATA3
ISOC2,GATA3
ITGB6,GATA3
JARID2,GATA3
KCNJ8,GATA3
KCNK1,GATA3
KCNK2,GATA3
KCTD3,GATA3
KDM3A,GATA3
KDM5B,GATA3
KDM6A,GATA3
KIAA0355,GATA3
KIAA0494,GATA3
KIAA1598,GATA3
KIF3B,GATA3
KLC1,GATA3
KLF6,GATA3
KLK1,GATA3
KRT13,GATA3
KRT18,GATA3
KRT19,GATA3
KYNU,GATA3
LAMB2,GATA3
LAMC1,GATA3
LAMP2,GATA3
LARP4,GATA3
LIPH,GATA3
LITAF,GATA3
LMBR1,GATA3
LOC642587,GATA3
LPIN2,GATA3
LRBA,GATA3
LSM14A,GATA3
LTBP1,GATA3
LYSMD3,GATA3
MALAT1,GATA3
MAML1,GATA3
MAN2A1,GATA3
MAP4K4,GATA3
MAPK14,GATA3
MARVELD3,GATA3
MGST1,GATA3
MLXIPL,GATA3
MS4A7,GATA3
MSX2,GATA3
MYBL2,GATA3
MYC,GATA3
MYLIP,GATA3
MYO1B,GATA3
MYO1E,GATA3
MYO6,GATA3
N4BP3,GATA3
NAALADL2,GATA3
NAB2,GATA3
NBL1,GATA3
NCDN,GATA3
NDUFAF4,GATA3
NEDD9,GATA3
NELL2,GATA3
NEO1,GATA3
NFKBIZ,GATA3
NPC2,GATA3
NPNT,GATA3
NPTN,GATA3
NPY1R,GATA3
NR3C1,GATA3
NRP1,GATA3
NUDT3,GATA3
OAS3,GATA3
OBFC1,GATA3
ODAM,GATA3
ORAI3,GATA3
OSBPL2,GATA3
OSR2,GATA3
OTUD6B,GATA3
PAK1IP1,GATA3
PALLD,GATA3
PAPSS1,GATA3
PDE3B,GATA3
PDE4DIP,GATA3
PDZK1,GATA3
PHF12,GATA3
PIAS1,GATA3
PICALM,GATA3
PIK3C2B,GATA3
PIK3CB,GATA3
PIK3R1,GATA3
PIM1,GATA3
PKP1,GATA3
PLAC1,GATA3
PLAC8,GATA3
PLEC,GATA3
PLEKHA7,GATA3
PLOD2,GATA3
PODXL2,GATA3
POLR1C,GATA3
POLR3GL,GATA3
PPAP2B,GATA3
PPIC,GATA3
PPIL2,GATA3
PPP1R15A,GATA3
PPP1R15B,GATA3
PPP1R2,GATA3
PPP1R3C,GATA3
PPP2CA,GATA3
PPT1,GATA3
PRDM4,GATA3
PRELP,GATA3
PRKAB2,GATA3
PRKAR2B,GATA3
PRKCI,GATA3
PRPS1,GATA3
PRSS23,GATA3
PRUNE,GATA3
PSCA,GATA3
PSMA1,GATA3
PTP4A2,GATA3
PTPN4,GATA3
PTPRT,GATA3
RAB31,GATA3
RALY,GATA3
RANBP9,GATA3
RAPGEF3,GATA3
RASSF3,GATA3
RBMS1,GATA3
RCAN3,GATA3
REEP5,GATA3
RERG,GATA3
REST,GATA3
RGS3,GATA3
RHOD,GATA3
RNF19A,GATA3
RNF43,GATA3
ROBO1,GATA3
ROD1,GATA3
RSBN1,GATA3
RSL1D1,GATA3
RTN4IP1,GATA3
RUNDC1,GATA3
S100A10,GATA3
SASH1,GATA3
SCCPDH,GATA3
SDCBP,GATA3
SDF2L1,GATA3
SEC11A,GATA3
SEMA3B,GATA3
SEMA3F,GATA3
SESTD1,GATA3
SGK3,GATA3
SH3BP5,GATA3
SHOX2,GATA3
SIDT1,GATA3
SLC11A2,GATA3
SLC19A2,GATA3
SLC1A5,GATA3
SLC22A5,GATA3
SLC25A24,GATA3
SLC35A2,GATA3
SLC35E1,GATA3
SLC39A10,GATA3
SLC7A5,GATA3
SLC9A3R1,GATA3
SLMO1,GATA3
SMAD5,GATA3
SMAD7,GATA3
SMG7,GATA3
SNAI2,GATA3
SNORD114-2,GATA3
SOX2,GATA3
SOX7,GATA3
SOX9,GATA3
SPAG1,GATA3
SPG20,GATA3
SRI,GATA3
SRPK2,GATA3
SSBP3,GATA3
ST8SIA6,GATA3
SULT2B1,GATA3
SV2B,GATA3
SYNE2,GATA3
SYT12,GATA3
TACSTD2,GATA3
TBL1X,GATA3
TEK,GATA3
TFF3,GATA3
TGFB2,GATA3
TLE1,GATA3
TLR5,GATA3
TMEM164,GATA3
TMEM30A,GATA3
TMEM64,GATA3
TMPRSS3,GATA3
TMTC2,GATA3
TNF,GATA3
TNRC18,GATA3
TOR1AIP1,GATA3
TP53INP1,GATA3
